LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,SalePrice
16261,2,3,1967,694,3,268653
12869,1,2,2008,1100,0,261839
10254,9,2,1987,2364,2,620399
14715,8,7,1955,4047,2,769838
14763,2,9,1955,548,4,224621
3491,2,6,1989,4619,0,667450
11874,10,2,2019,2806,3,740040
14947,1,8,1982,1780,4,375245
6468,7,9,1974,2916,1,595790
14226,1,9,1995,1658,0,314506
2164,10,10,1992,3728,4,813393
4789,5,4,1965,3316,1,587808
18795,3,3,2005,2007,1,461939
10281,4,2,2006,1985,4,503769
3782,9,8,1993,1099,2,459635
4207,5,2,2013,2117,4,520025
12841,6,3,1997,2421,0,539486
4287,4,6,1960,4480,3,717220
12016,10,3,1960,3485,2,763782
7525,1,6,1973,2516,1,415232
16290,5,6,1991,1600,2,463436
17727,8,8,1960,3438,2,724698
5566,3,10,1987,1171,2,323956
6587,9,4,2007,2656,0,645917
4470,1,9,1971,755,4,223279
15275,10,4,1994,800,4,496564
19808,9,8,1955,1717,2,542325
9317,10,5,2005,1596,3,578391
18725,2,7,1957,3480,4,589222
9827,10,3,2001,4711,1,925722
7217,3,10,2015,1697,3,410048
3324,4,8,1953,2398,0,419794
14105,4,1,2006,2193,4,542519
13837,7,8,1966,4224,0,748498
12619,2,9,1980,2740,2,494117
19837,10,3,1996,3585,3,837981
4550,9,5,2022,3582,1,767510
15298,6,6,1969,4488,3,826724
2216,9,3,1997,4103,1,794644
4526,9,5,2006,2232,1,581842
7156,6,10,2023,1469,1,441734
12820,2,8,2017,4422,3,726604
7283,7,1,2000,2496,0,555059
7279,3,9,1985,821,4,286669
3832,3,5,1964,1974,4,408361
2610,5,2,1973,2274,3,493984
17447,8,3,2016,2297,3,649969
6676,10,3,2021,4684,2,931903
13228,8,10,1983,1063,1,428037
14630,3,2,2007,635,1,283818
18526,7,3,1986,1288,1,455031
3279,9,9,1975,1462,0,456579
6270,10,9,1967,509,3,407096
15784,6,1,2007,4840,3,881771
17798,7,6,2006,1300,3,481581
10340,8,4,1990,1186,2,461944
19816,7,5,1958,2048,0,522345
2233,10,9,1988,1465,4,521634
14288,4,6,1972,3849,2,661836
7071,7,10,2015,2577,2,619468
19567,7,10,1965,3495,4,732130
15023,4,7,1967,4452,1,728540
17851,5,5,2013,3320,3,699963
6524,2,4,1996,4158,1,633617
9027,9,7,2009,3272,4,771541
3705,3,7,1961,543,0,198551
6762,8,10,1989,4066,0,751505
10620,4,6,2011,1155,4,380497
14593,7,10,2002,4768,2,889856
3882,3,8,1966,4096,0,608575
18978,5,4,1959,775,4,359863
18902,4,10,2009,1888,0,452253
9839,1,3,1966,1211,2,275685
15088,6,7,1966,3821,4,732647
18965,1,2,2014,1238,4,352977
13406,6,5,1965,2353,4,551452
16901,7,10,1988,538,2,360398
15340,9,2,1970,1092,4,489702
13140,2,9,1978,2611,4,510285
10196,8,7,2016,4461,1,867028
13130,8,8,1960,724,3,385079
10448,2,7,1975,2305,1,427663
12345,7,6,1966,4731,4,852873
10629,4,5,2018,1261,3,408182
13206,2,9,2014,1962,3,433042
13584,4,10,2024,2704,1,570882
8231,8,4,1971,2423,1,585851
10696,4,4,2022,2161,1,501413
13666,3,2,1953,1482,0,332383
18143,10,1,1955,4935,0,942916
17803,6,10,1976,3083,3,669598
11002,8,3,1953,4687,2,848383
9277,10,3,2019,943,4,533881
15866,8,9,1988,766,4,439797
14901,3,8,1981,1486,4,396898
12343,1,1,1988,2226,3,429087
5301,6,6,1959,2627,1,530318
10613,4,5,1970,4361,4,742901
13990,3,8,2003,3972,1,672742
14199,6,7,2009,2790,3,627991
6297,10,4,1993,1318,2,524799
9726,9,7,1990,3620,1,748857
6900,8,1,1994,1946,3,556290
6406,9,9,1966,3086,3,683669
10223,9,10,2015,890,3,463712
7352,1,4,1990,2583,3,465507
5155,8,6,2009,2628,2,625831
10444,6,1,1984,3873,0,699296
8519,10,10,1981,4910,1,937126
11326,6,6,1962,4681,3,828684
16645,2,7,1987,2847,3,539374
6746,3,6,2003,3955,4,690969
15263,2,2,1970,1827,2,376507
12272,6,5,2023,2691,4,649759
14958,5,8,1974,3475,4,682144
16755,7,3,2013,2006,0,533982
9688,5,2,2013,2225,1,510474
5375,2,2,2013,4376,4,705408
2863,7,9,1961,1181,0,353209
7088,2,7,2014,3034,1,518150
11311,8,3,1980,1575,4,535909
7590,1,1,2024,3423,2,584549
17602,8,9,1956,2731,4,658402
6427,9,3,1986,4240,4,857634
19152,9,5,2010,3344,3,797919
9442,2,8,2018,3022,2,543873
10513,3,5,1963,586,0,216907
6466,6,5,1967,4343,4,764930
18119,8,5,1996,574,3,434684
11598,10,4,1996,559,4,461917
8179,7,9,2001,4080,3,784625
7350,7,7,2022,2307,2,569585
15835,4,9,1996,2727,2,567293
19430,5,7,1959,2040,0,452767
6476,5,2,2014,4230,4,780064
10917,10,8,2020,2038,2,618946
6985,1,9,1965,681,1,165526
11244,5,3,1962,4091,0,680380
4955,3,1,1997,4543,1,710328
15770,5,8,2021,3542,3,723987
3039,6,2,1968,1696,0,399769
14858,2,9,2015,4351,1,697491
10194,7,1,2014,1499,1,475771
16514,4,1,1955,2131,3,483857
5078,9,4,1967,4373,3,849923
12227,6,3,2010,845,4,414650
6002,5,8,1969,2947,1,546656
3706,4,2,1991,2433,3,496511
2493,3,5,1970,1480,3,350437
9965,1,1,1988,4393,4,680033
14169,2,4,2014,1791,3,410622
13089,1,1,2022,3412,1,580788
19575,2,3,2010,4496,1,732123
13380,8,4,1997,674,3,419356
6414,5,1,1964,4475,3,761260
11657,9,8,2024,2054,4,630766
19813,6,6,1953,4337,2,796710
7254,2,9,1983,1769,3,366630
10629,9,6,1956,4219,0,805392
18579,7,3,1971,653,4,415473
13930,10,4,1968,3127,0,716000
19660,7,4,1954,4793,3,886431
7050,10,5,1974,3142,3,736891
12552,2,2,2006,4786,0,722210
6252,3,1,2003,2155,0,425160
8278,2,1,2002,3683,3,626124
10386,1,6,2002,2308,4,458240
4322,1,4,1957,4525,0,614903
3989,6,9,2016,3907,2,744132
3910,10,5,2021,4833,0,935051
4306,5,2,2011,2268,4,524060
5316,4,9,1990,3656,1,615496
19242,4,10,2008,1965,4,522475
15604,2,10,2019,3432,3,632873
15994,2,3,1983,1977,4,436280
18537,6,3,1974,4873,4,885587
13544,6,9,1985,3159,2,645723
16109,6,10,1978,2471,4,593126
9009,7,9,1986,2581,2,589871
16663,7,1,2012,783,2,426570
2534,9,3,2011,2972,0,661383
9270,4,6,2021,677,2,319992
18753,9,10,1986,1767,0,533335
17085,6,3,2023,1633,2,505143
10187,4,5,2000,2960,0,556954
15100,10,4,1968,1132,2,508521
17811,3,8,1955,1281,4,366198
11843,1,10,1960,3625,0,539092
3832,6,6,2006,4057,3,769573
5949,4,10,2011,593,3,285580
11987,9,1,1975,3115,4,735772
6901,6,9,2021,2308,1,528618
14873,8,10,1967,4634,0,831576
16153,5,7,1980,1712,1,437414
4704,8,10,1956,903,4,398352
10603,2,7,1979,4610,3,731065
6272,3,8,1962,2122,3,418009
8425,9,10,1992,4794,1,889095
4347,5,7,1962,3149,4,587956
5687,7,7,1950,3492,2,652842
12509,6,10,2002,698,2,352433
13459,10,8,2011,1694,3,590927
9650,4,6,1986,1777,0,386672
3787,4,10,1986,1709,2,379691
13248,2,5,1961,4186,3,650109
12874,4,9,2018,2235,1,501627
19146,5,9,1972,4456,4,817176
6631,1,7,1972,4815,0,660163
7581,1,5,2000,2144,4,414412
3739,8,1,1973,1045,3,427156
10890,6,2,1954,656,2,331013
14665,4,7,1988,4665,0,775313
12336,8,10,1992,4854,0,869196
8516,9,8,2008,676,0,397174
19347,5,6,1967,4513,3,810593
7144,1,6,1984,3382,2,535959
11906,4,9,1964,2759,0,509003
10443,7,1,1970,2795,1,589200
13199,7,3,1982,1219,3,453039
9452,7,4,1951,1751,3,473512
12790,8,9,1987,1579,1,501330
6540,10,9,1972,2157,1,578685
19164,3,7,2004,1689,4,443050
